sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	5	15	39	11	training_only	active_vis	late	60	90	50	same	3000	1000	500	8000	112000	120000	False	0	1	polycubes_stim39_2_3_3_3.obj	polycubes_stim39_2_3_3_3.obj	ordered	False	500
sub-01	1	5	16	187	12	training_only	active_vis	late	60	140	100	mirror	3000	1000	500	8000	120000	128000	False	0	1	polycubes_stim187_4_2_2_4.obj	polycubes_stim187_4_2_2_4.obj	ordered	False	500
sub-01	1	5	17	11	11	trained_shared	active_vis	late	60	190	150	mirror	3000	1000	500	8000	128000	136000	False	0	1	polycubes_stim11_4_2_3_2.obj	polycubes_stim11_4_2_3_2.obj	ordered	False	500
sub-01	1	5	18	13	10	trained_shared	active_vis	late	60	0	0	mirror	3000	1000	500	8000	136000	144000	False	0	1	polycubes_stim13_2_2_4_2.obj	polycubes_stim13_2_2_4_2.obj	ordered	False	500
sub-01	1	5	19	117	11	training_only	active_vis	late	60	90	50	same	3000	1000	500	8000	144000	152000	False	0	1	polycubes_stim117_2_3_2_4.obj	polycubes_stim117_2_3_2_4.obj	ordered	False	500
sub-01	1	5	20	55	10	training_only	active_vis	late	60	90	50	mirror	3000	1000	500	8000	152000	160000	True	5000	1	polycubes_stim55_2_2_3_3.obj	polycubes_stim55_2_2_3_3.obj	ordered	False	500
sub-01	1	5	21	174	12	trained_shared	active_vis	late	60	0	0	same	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim174_2_2_4_4.obj	polycubes_stim174_2_2_4_4.obj	ordered	False	500
sub-01	1	5	22	65	10	trained_shared	active_vis	late	60	90	50	same	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim65_2_2_4_2.obj	polycubes_stim65_2_2_4_2.obj	ordered	False	500
sub-01	1	5	23	4	10	trained_shared	active_vis	late	60	0	0	mirror	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim4_2_2_2_4.obj	polycubes_stim4_2_2_2_4.obj	ordered	False	500
sub-01	1	5	24	47	10	trained_shared	active_vis	late	60	140	100	same	3000	1000	500	8000	189000	197000	False	0	1	polycubes_stim47_4_2_2_2.obj	polycubes_stim47_4_2_2_2.obj	ordered	False	500
sub-01	1	5	25	196	12	training_only	active_vis	late	60	0	0	mirror	3000	1000	500	8000	197000	205000	False	0	1	polycubes_stim196_2_4_3_3.obj	polycubes_stim196_2_4_3_3.obj	ordered	False	500
sub-01	1	5	26	64	10	training_only	active_vis	late	60	190	150	same	3000	1000	500	8000	205000	213000	False	0	1	polycubes_stim64_2_3_2_3.obj	polycubes_stim64_2_3_2_3.obj	ordered	False	500
sub-01	1	5	27	123	10	trained_shared	active_vis	late	60	140	100	same	3000	1000	500	8000	213000	221000	False	0	1	polycubes_stim123_2_2_2_4.obj	polycubes_stim123_2_2_2_4.obj	ordered	False	500
sub-01	1	5	28	175	12	training_only	active_vis	late	60	190	150	mirror	3000	1000	500	8000	221000	229000	False	0	1	polycubes_stim175_4_2_2_4.obj	polycubes_stim175_4_2_2_4.obj	ordered	False	500
sub-01	1	5	29	172	12	training_only	active_vis	late	60	90	50	same	3000	1000	500	8000	229000	237000	False	0	1	polycubes_stim172_2_3_3_4.obj	polycubes_stim172_2_3_3_4.obj	ordered	False	500
sub-01	1	5	30	121	12	trained_shared	active_vis	late	60	140	100	same	3000	1000	500	8000	237000	245000	False	0	1	polycubes_stim121_4_2_4_2.obj	polycubes_stim121_4_2_4_2.obj	ordered	False	500
sub-01	1	5	31	150	11	trained_shared	active_vis	late	60	90	50	same	3000	1000	500	8000	245000	253000	False	0	1	polycubes_stim150_2_2_4_3.obj	polycubes_stim150_2_2_4_3.obj	ordered	False	500
sub-01	1	5	32	121	12	trained_shared	active_vis	late	60	190	150	same	3000	1000	500	8000	253000	261000	False	0	1	polycubes_stim121_4_2_4_2.obj	polycubes_stim121_4_2_4_2.obj	ordered	False	500
sub-01	1	5	33	67	11	trained_shared	active_vis	late	60	140	100	same	3000	1000	500	8000	261000	269000	False	0	1	polycubes_stim67_3_2_2_4.obj	polycubes_stim67_3_2_2_4.obj	ordered	False	500
sub-01	1	5	34	47	10	trained_shared	active_vis	late	60	90	50	mirror	3000	1000	500	8000	269000	277000	False	0	1	polycubes_stim47_4_2_2_2.obj	polycubes_stim47_4_2_2_2.obj	ordered	False	500
sub-01	1	5	35	80	11	training_only	active_vis	late	60	0	0	same	3000	1000	500	8000	277000	285000	False	0	1	polycubes_stim80_3_4_2_2.obj	polycubes_stim80_3_4_2_2.obj	ordered	False	500
sub-01	1	5	36	44	10	training_only	active_vis	late	60	90	50	same	3000	1000	500	8000	285000	293000	False	0	1	polycubes_stim44_2_3_2_3.obj	polycubes_stim44_2_3_2_3.obj	ordered	False	500
sub-01	1	5	37	95	12	trained_shared	active_vis	late	60	140	100	mirror	3000	1000	500	8000	293000	301000	False	0	1	polycubes_stim95_2_4_2_4.obj	polycubes_stim95_2_4_2_4.obj	ordered	False	500
sub-01	1	5	38	59	10	training_only	active_vis	late	60	190	150	same	3000	1000	500	8000	301000	309000	False	0	1	polycubes_stim59_2_2_2_4.obj	polycubes_stim59_2_2_2_4.obj	ordered	False	500
sub-01	1	5	39	18	10	trained_shared	active_vis	late	60	140	100	mirror	3000	1000	500	8000	309000	317000	False	0	1	polycubes_stim18_2_4_2_2.obj	polycubes_stim18_2_4_2_2.obj	ordered	False	500
sub-01	1	5	40	136	11	trained_shared	active_vis	late	60	190	150	mirror	3000	1000	500	8000	317000	325000	True	5000	1	polycubes_stim136_2_3_3_3.obj	polycubes_stim136_2_3_3_3.obj	ordered	False	500
sub-01	1	5	41	13	10	trained_shared	active_vis	late	60	190	150	mirror	3000	1000	500	8000	330000	338000	False	0	1	polycubes_stim13_2_2_4_2.obj	polycubes_stim13_2_2_4_2.obj	ordered	False	500
sub-01	1	5	42	94	10	trained_shared	active_vis	late	60	190	150	same	3000	1000	500	8000	338000	346000	False	0	1	polycubes_stim94_2_3_2_3.obj	polycubes_stim94_2_3_2_3.obj	ordered	False	500
sub-01	1	5	43	6	12	trained_shared	active_vis	late	60	0	0	same	3000	1000	500	8000	346000	354000	False	0	1	polycubes_stim6_2_4_3_3.obj	polycubes_stim6_2_4_3_3.obj	ordered	False	500
sub-01	1	5	44	155	12	trained_shared	active_vis	late	60	0	0	same	3000	1000	500	8000	354000	362000	False	0	1	polycubes_stim155_4_3_3_2.obj	polycubes_stim155_4_3_3_2.obj	ordered	False	500
sub-01	1	5	45	107	11	trained_shared	active_vis	late	60	140	100	mirror	3000	1000	500	8000	362000	370000	False	0	1	polycubes_stim107_2_3_4_2.obj	polycubes_stim107_2_3_4_2.obj	ordered	False	500
sub-01	1	5	46	196	12	training_only	active_vis	late	60	190	150	same	3000	1000	500	8000	370000	378000	False	0	1	polycubes_stim196_2_4_3_3.obj	polycubes_stim196_2_4_3_3.obj	ordered	False	500
sub-01	1	5	47	83	10	training_only	active_vis	late	60	140	100	same	3000	1000	500	8000	378000	386000	False	0	1	polycubes_stim83_2_3_3_2.obj	polycubes_stim83_2_3_3_2.obj	ordered	False	500
sub-01	1	5	48	100	11	training_only	active_vis	late	60	0	0	mirror	3000	1000	500	8000	386000	394000	False	0	1	polycubes_stim100_2_3_4_2.obj	polycubes_stim100_2_3_4_2.obj	ordered	False	500
sub-01	1	5	49	41	11	trained_shared	active_vis	late	60	190	150	mirror	3000	1000	500	8000	394000	402000	False	0	1	polycubes_stim41_2_2_3_4.obj	polycubes_stim41_2_2_3_4.obj	ordered	False	500
sub-01	1	5	50	67	11	trained_shared	active_vis	late	60	90	50	mirror	3000	1000	500	8000	402000	410000	False	0	1	polycubes_stim67_3_2_2_4.obj	polycubes_stim67_3_2_2_4.obj	ordered	False	500
sub-01	1	5	51	64	10	training_only	active_vis	late	60	90	50	mirror	3000	1000	500	8000	410000	418000	False	0	1	polycubes_stim64_2_3_2_3.obj	polycubes_stim64_2_3_2_3.obj	ordered	False	500
sub-01	1	5	52	195	12	trained_shared	active_vis	late	60	90	50	mirror	3000	1000	500	8000	418000	426000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	False	500
sub-01	1	5	53	66	11	trained_shared	active_vis	late	60	90	50	same	3000	1000	500	8000	426000	434000	False	0	1	polycubes_stim66_3_2_4_2.obj	polycubes_stim66_3_2_4_2.obj	ordered	False	500
sub-01	1	5	54	48	10	training_only	active_vis	late	60	140	100	same	3000	1000	500	8000	434000	442000	False	0	1	polycubes_stim48_2_2_3_3.obj	polycubes_stim48_2_2_3_3.obj	ordered	False	500
sub-01	1	5	55	195	12	trained_shared	active_vis	late	60	0	0	mirror	3000	1000	500	8000	442000	450000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	False	500
sub-01	1	5	56	156	11	training_only	active_vis	late	60	0	0	same	3000	1000	500	8000	450000	458000	False	0	1	polycubes_stim156_2_2_3_4.obj	polycubes_stim156_2_2_3_4.obj	ordered	False	500
sub-01	1	5	57	100	11	training_only	active_vis	late	60	0	0	mirror	3000	1000	500	8000	458000	466000	False	0	1	polycubes_stim100_2_3_4_2.obj	polycubes_stim100_2_3_4_2.obj	ordered	False	500
sub-01	1	5	58	48	10	training_only	active_vis	late	60	190	150	same	3000	1000	500	8000	466000	474000	False	0	1	polycubes_stim48_2_2_3_3.obj	polycubes_stim48_2_2_3_3.obj	ordered	False	500
sub-01	1	5	59	65	10	trained_shared	active_vis	late	60	0	0	same	3000	1000	500	8000	474000	482000	False	0	1	polycubes_stim65_2_2_4_2.obj	polycubes_stim65_2_2_4_2.obj	ordered	False	500
sub-01	1	5	60	169	12	training_only	active_vis	late	60	140	100	same	3000	1000	500	8000	482000	490000	True	5000	1	polycubes_stim169_2_4_2_4.obj	polycubes_stim169_2_4_2_4.obj	ordered	False	500
sub-01	1	5	61	96	11	training_only	active_vis	late	60	140	100	mirror	3000	1000	500	8000	495000	503000	False	0	1	polycubes_stim96_3_2_2_4.obj	polycubes_stim96_3_2_2_4.obj	ordered	False	500
sub-01	1	5	62	56	10	training_only	active_vis	late	60	140	100	mirror	3000	1000	500	8000	503000	511000	False	0	1	polycubes_stim56_2_4_2_2.obj	polycubes_stim56_2_4_2_2.obj	ordered	False	500
sub-01	1	5	63	55	10	training_only	active_vis	late	60	140	100	same	3000	1000	500	8000	511000	519000	False	0	1	polycubes_stim55_2_2_3_3.obj	polycubes_stim55_2_2_3_3.obj	ordered	False	500
sub-01	1	5	64	195	12	trained_shared	active_vis	late	60	190	150	same	3000	1000	500	8000	519000	527000	False	0	1	polycubes_stim195_2_2_4_4.obj	polycubes_stim195_2_2_4_4.obj	ordered	False	500
