sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	angle	same_mirror	stim_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms
sub-01	1	5	1	194	12	training_only	active_vis	late	60	190	150	mirror	3000	1000	500	8000	0	8000	False	0	1	polycubes_stim194_2_3_4_3.obj	polycubes_stim194_2_3_4_3.obj	ordered	False	500
sub-01	1	5	2	110	12	training_only	active_vis	late	60	140	100	mirror	3000	1000	500	8000	8000	16000	False	0	1	polycubes_stim110_3_4_3_2.obj	polycubes_stim110_3_4_3_2.obj	ordered	False	500
sub-01	1	5	3	120	12	training_only	active_vis	late	60	0	0	mirror	3000	1000	500	8000	16000	24000	False	0	1	polycubes_stim120_4_2_2_4.obj	polycubes_stim120_4_2_2_4.obj	ordered	False	500
sub-01	1	5	4	155	12	trained_shared	active_vis	late	60	0	0	mirror	3000	1000	500	8000	24000	32000	False	0	1	polycubes_stim155_4_3_3_2.obj	polycubes_stim155_4_3_3_2.obj	ordered	False	500
sub-01	1	5	5	56	10	training_only	active_vis	late	60	190	150	mirror	3000	1000	500	8000	32000	40000	False	0	1	polycubes_stim56_2_4_2_2.obj	polycubes_stim56_2_4_2_2.obj	ordered	False	500
sub-01	1	5	6	80	11	training_only	active_vis	late	60	90	50	mirror	3000	1000	500	8000	40000	48000	False	0	1	polycubes_stim80_3_4_2_2.obj	polycubes_stim80_3_4_2_2.obj	ordered	False	500
sub-01	1	5	7	172	12	training_only	active_vis	late	60	0	0	same	3000	1000	500	8000	48000	56000	False	0	1	polycubes_stim172_2_3_3_4.obj	polycubes_stim172_2_3_3_4.obj	ordered	False	500
sub-01	1	5	8	134	12	training_only	active_vis	late	60	90	50	mirror	3000	1000	500	8000	56000	64000	False	0	1	polycubes_stim134_2_4_3_3.obj	polycubes_stim134_2_4_3_3.obj	ordered	False	500
sub-01	1	5	9	13	10	trained_shared	active_vis	late	60	90	50	same	3000	1000	500	8000	64000	72000	False	0	1	polycubes_stim13_2_2_4_2.obj	polycubes_stim13_2_2_4_2.obj	ordered	False	500
sub-01	1	5	10	92	10	trained_shared	active_vis	late	60	190	150	same	3000	1000	500	8000	72000	80000	False	0	1	polycubes_stim92_2_2_3_3.obj	polycubes_stim92_2_2_3_3.obj	ordered	False	500
sub-01	1	5	11	81	10	trained_shared	active_vis	late	60	90	50	mirror	3000	1000	500	8000	80000	88000	False	0	1	polycubes_stim81_2_3_3_2.obj	polycubes_stim81_2_3_3_2.obj	ordered	False	500
sub-01	1	5	12	11	11	trained_shared	active_vis	late	60	140	100	mirror	3000	1000	500	8000	88000	96000	False	0	1	polycubes_stim11_4_2_3_2.obj	polycubes_stim11_4_2_3_2.obj	ordered	False	500
sub-01	1	5	13	134	12	training_only	active_vis	late	60	0	0	same	3000	1000	500	8000	96000	104000	False	0	1	polycubes_stim134_2_4_3_3.obj	polycubes_stim134_2_4_3_3.obj	ordered	False	500
sub-01	1	5	14	110	12	training_only	active_vis	late	60	190	150	mirror	3000	1000	500	8000	104000	112000	False	0	1	polycubes_stim110_3_4_3_2.obj	polycubes_stim110_3_4_3_2.obj	ordered	False	500
