sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-04	2	5	26	122	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	93750	97500	False	0	1	polycubes_stim122_4_2_4_2.obj	ordered	False	0	0.3069212734699249	0.0406883247196674	-0.3644632697105407
sub-04	2	5	27	94	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	97500	101250	False	0	1	polycubes_stim094_4_2_3_3.obj	ordered	False	0	-0.2253549098968505	0.1514138877391815	0.0112233087420463
sub-04	2	5	28	192	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	101250	105000	False	0	1	polycubes_stim192_4_4_2_2.obj	ordered	False	0	-0.5281376838684082	0.5874032974243164	-0.3025761544704437
sub-04	2	5	29	85	10	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	105000	108750	False	0	1	polycubes_stim085_2_2_3_3.obj	ordered	False	0	-0.2802347540855407	0.1019951701164245	0.1359917819499969
sub-04	2	5	30	17	10	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	108750	112500	False	0	1	polycubes_stim017_2_3_3_2.obj	ordered	False	0	0.1207334697246551	-0.0313727967441082	-0.0763656347990036
sub-04	2	5	31	31	10	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	112500	116250	False	0	1	polycubes_stim031_2_4_2_2.obj	ordered	False	0	-0.1757896542549133	-0.1739447116851806	0.4217846989631653
sub-04	2	5	32	135	11	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	116250	120000	False	0	1	polycubes_stim135_2_2_4_3.obj	ordered	False	0	-0.5325503945350647	-4.642613203031942e-05	0.532616138458252
sub-04	2	5	33	24	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	120000	123750	False	0	1	polycubes_stim024_2_4_2_3.obj	ordered	False	0	-0.0618884786963462	-0.0488393045961856	0.130957692861557
sub-04	2	5	34	49	11	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	123750	127500	False	0	1	polycubes_stim049_4_2_2_3.obj	ordered	False	0	0.7898233532905579	0.0321832373738288	-0.8353374004364014
sub-04	2	5	35	62	10	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	127500	131250	False	0	1	polycubes_stim062_2_4_2_2.obj	ordered	False	0	0.188808798789978	-0.0553459823131561	-0.1105377525091171
sub-04	2	5	36	139	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	131250	135000	False	0	1	polycubes_stim139_2_2_4_4.obj	ordered	False	0	0.6939102411270142	-0.3790967166423797	-0.15778648853302
sub-04	2	5	37	1	9	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	135000	138750	False	0	1	polycubes_stim001_2_2_3_2.obj	ordered	False	0	0.1274353861808776	0.0609298646450042	-0.2136032432317733
sub-04	2	5	38	188	12	recognition_foil	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	138750	142500	False	0	1	polycubes_stim188_4_2_4_2.obj	ordered	False	0	-0.3140657544136047	0.3025632500648498	-0.1138233765959739
sub-04	2	5	39	39	11	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	142500	146250	False	0	1	polycubes_stim039_3_3_3_2.obj	ordered	False	0	0.3556030392646789	-0.03061537258327	-0.3123063743114471
sub-04	2	5	40	156	12	trained	recog	none	0	0	0	0	0	0	same	3000	0	750	3750	146250	150000	False	0	1	polycubes_stim156_3_2_4_3.obj	ordered	False	0	0.5716012120246887	0.3088111281394958	-1.0083261728286743
