sn	ses	run	trial	object	n_cubes	stimulus_type	task_version	scaffold	rotation_speed	start_orientation	end_orientation	stim2_orientation	angular_disparity	signed_angle	direction	same_mirror	stim1_dur_ms	stim2_dur_ms	isi_ms	iti_ms	trial_dur_ms	start_time	end_time	has_rest_after	rest_after_ms	order_1	stim1_name	stim2_name	condition	show_feedback	feedback_dur_ms	offset_x	offset_y	offset_z
sub-99	1	5	21	17	10	novel_1	passive	none	0	0	0	50	50	50	1	mirror	3000	3000	1000	500	8000	165000	173000	False	0	1	polycubes_stim017_2_3_3_2.obj	polycubes_stim017_2_3_3_2.obj	ordered	True	500	0.1207334697246551	-0.0313727967441082	-0.0763656347990036
sub-99	1	5	22	79	11	trained	passive	none	0	0	0	0	0	0	0	mirror	3000	3000	1000	500	8000	173000	181000	False	0	1	polycubes_stim079_3_3_2_3.obj	polycubes_stim079_3_3_2_3.obj	ordered	True	500	0.473305881023407	-0.3887032866477966	0.0764036774635315
sub-99	1	5	23	142	11	novel_1	passive	none	0	0	0	100	100	100	1	mirror	3000	3000	1000	500	8000	181000	189000	False	0	1	polycubes_stim142_3_2_3_3.obj	polycubes_stim142_3_2_3_3.obj	ordered	True	500	0.2793138027191162	-0.0373679734766483	-0.226467490196228
sub-99	1	5	24	145	12	novel_1	passive	none	0	0	0	310	50	-50	-1	mirror	3000	3000	1000	500	8000	189000	197000	False	0	1	polycubes_stim145_2_3_3_4.obj	polycubes_stim145_2_3_3_4.obj	ordered	True	500	0.957783341407776	-0.920374870300293	0.343823492527008
sub-99	1	5	25	58	10	novel_1	passive	none	0	0	0	0	0	0	0	same	3000	3000	1000	500	8000	197000	205000	False	0	1	polycubes_stim058_2_4_2_2.obj	polycubes_stim058_2_4_2_2.obj	ordered	True	500	-0.1029457747936248	0.1168616861104965	-0.0623216293752193
sub-99	1	5	26	5	11	novel_1	passive	none	0	0	0	210	150	-150	-1	mirror	3000	3000	1000	500	8000	205000	213000	False	0	1	polycubes_stim005_2_2_3_4.obj	polycubes_stim005_2_2_3_4.obj	ordered	True	500	0.5121427774429321	0.0440711677074432	-0.5744689106941223
sub-99	1	5	27	155	12	trained	passive	none	0	0	0	0	0	0	0	same	3000	3000	1000	500	8000	213000	221000	False	0	1	polycubes_stim155_2_4_4_2.obj	polycubes_stim155_2_4_4_2.obj	ordered	True	500	-0.2236339151859283	-0.2646830976009369	0.5979524850845337
sub-99	1	5	28	155	12	trained	passive	none	0	0	0	210	150	-150	-1	mirror	3000	3000	1000	500	8000	221000	229000	False	0	1	polycubes_stim155_2_4_4_2.obj	polycubes_stim155_2_4_4_2.obj	ordered	True	500	-0.2236339151859283	-0.2646830976009369	0.5979524850845337
sub-99	1	5	29	185	12	trained	passive	none	0	0	0	50	50	50	1	mirror	3000	3000	1000	500	8000	229000	237000	False	0	1	polycubes_stim185_2_4_3_3.obj	polycubes_stim185_2_4_3_3.obj	ordered	True	500	0.5964540243148804	-0.1956858485937118	-0.3197124004364013
sub-99	1	5	30	178	12	trained	passive	none	0	0	0	260	100	-100	-1	mirror	3000	3000	1000	500	8000	237000	245000	False	0	1	polycubes_stim178_2_2_4_4.obj	polycubes_stim178_2_2_4_4.obj	ordered	True	500	0.3179397881031036	0.5495432615280151	-1.0951114892959597
sub-99	1	5	31	144	12	novel_1	passive	none	0	0	0	310	50	-50	-1	same	3000	3000	1000	500	8000	245000	253000	False	0	1	polycubes_stim144_4_3_3_2.obj	polycubes_stim144_4_3_3_2.obj	ordered	True	500	-0.0312116742134094	0.291191428899765	-0.3805952668190002
sub-99	1	5	32	148	11	trained	passive	none	0	0	0	0	0	0	0	same	3000	3000	1000	500	8000	253000	261000	False	0	1	polycubes_stim148_2_4_2_3.obj	polycubes_stim148_2_4_2_3.obj	ordered	True	500	0.2289154827594757	-0.7697283625602722	0.8596450090408325
sub-99	1	5	33	189	11	novel_1	passive	none	0	0	0	100	100	100	1	same	3000	3000	1000	500	8000	261000	269000	False	0	1	polycubes_stim189_2_4_3_2.obj	polycubes_stim189_2_4_3_2.obj	ordered	True	500	0.8328994512557983	-0.6260904669761658	0.0525263547897338
sub-99	1	5	34	183	12	novel_1	passive	none	0	0	0	0	0	0	0	mirror	3000	3000	1000	500	8000	269000	277000	False	0	1	polycubes_stim183_3_3_2_4.obj	polycubes_stim183_3_3_2_4.obj	ordered	True	500	-0.0395391583442688	-0.2221980392932891	0.3537747263908386
sub-99	1	5	35	178	12	trained	passive	none	0	0	0	0	0	0	0	same	3000	3000	1000	500	8000	277000	285000	False	0	1	polycubes_stim178_2_2_4_4.obj	polycubes_stim178_2_2_4_4.obj	ordered	True	500	0.3179397881031036	0.5495432615280151	-1.0951114892959597
sub-99	1	5	36	165	12	novel_1	passive	none	0	0	0	0	0	0	0	mirror	3000	3000	1000	500	8000	285000	293000	False	0	1	polycubes_stim165_4_3_3_2.obj	polycubes_stim165_4_3_3_2.obj	ordered	True	500	-0.2940860688686371	0.2539620995521545	-0.0650706142187118
